doctor_id,user_id,rating,bedside_manner,explanation,wait_time,revisit_intention,content
29,118,5,4,4,4,True,대기 시간이 조금 있었지만 만족합니다.
50,125,5,3,3,5,False,전반적으로 만족스러운 진료였습니다.
12,55,5,4,4,2,False,설명이 명확해서 신뢰가 갔습니다.
34,136,3,3,4,3,True,전반적으로 만족스러운 진료였습니다.
25,27,5,4,5,3,False,대기 시간이 조금 있었지만 만족합니다.
39,181,4,3,4,2,True,다시 방문하고 싶은 병원입니다.
17,27,5,4,4,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
23,101,4,3,5,2,True,다시 방문하고 싶은 병원입니다.
9,99,5,4,5,3,False,설명이 명확해서 신뢰가 갔습니다.
22,102,5,4,4,3,False,설명이 명확해서 신뢰가 갔습니다.
6,113,5,4,4,5,True,설명이 명확해서 신뢰가 갔습니다.
39,46,3,4,5,5,True,설명이 명확해서 신뢰가 갔습니다.
8,17,4,4,4,2,False,친절한 응대와 정확한 진단이 인상적이었습니다.
33,57,3,3,3,4,False,상담이 자세해서 도움이 많이 됐어요.
18,96,4,5,4,5,True,다시 방문하고 싶은 병원입니다.
26,151,4,4,4,3,False,대기 시간이 조금 있었지만 만족합니다.
11,142,5,5,4,3,False,설명이 명확해서 신뢰가 갔습니다.
18,89,4,4,5,4,True,설명이 명확해서 신뢰가 갔습니다.
32,59,4,3,3,2,False,설명이 명확해서 신뢰가 갔습니다.
16,56,5,5,5,2,False,설명이 명확해서 신뢰가 갔습니다.
26,49,4,4,3,4,True,설명이 명확해서 신뢰가 갔습니다.
42,20,5,3,3,3,False,설명이 명확해서 신뢰가 갔습니다.
47,31,5,4,3,2,True,정말 친절하고 설명도 자세해서 좋았습니다.
26,71,3,5,5,5,False,기대 이상으로 만족했습니다.
20,142,4,4,3,3,False,조금 바빴지만 진료는 괜찮았습니다.
2,193,3,5,4,4,True,상담이 자세해서 도움이 많이 됐어요.
6,152,3,4,4,5,False,전반적으로 만족스러운 진료였습니다.
16,107,5,4,3,5,True,설명이 명확해서 신뢰가 갔습니다.
10,72,5,4,3,5,False,기대 이상으로 만족했습니다.
8,2,3,3,5,4,False,전반적으로 만족스러운 진료였습니다.
14,44,5,4,4,3,False,조금 바빴지만 진료는 괜찮았습니다.
19,193,4,5,4,2,True,친절한 응대와 정확한 진단이 인상적이었습니다.
14,53,4,5,4,5,True,기대 이상으로 만족했습니다.
8,146,5,3,5,2,False,정말 친절하고 설명도 자세해서 좋았습니다.
43,95,5,4,5,4,True,다시 방문하고 싶은 병원입니다.
23,179,5,4,3,3,True,전반적으로 만족스러운 진료였습니다.
18,102,3,4,5,5,False,기대 이상으로 만족했습니다.
40,173,4,3,5,4,True,설명이 명확해서 신뢰가 갔습니다.
42,50,5,4,5,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
8,59,5,4,4,5,False,전반적으로 만족스러운 진료였습니다.
6,77,4,3,3,4,False,대기 시간이 조금 있었지만 만족합니다.
25,101,3,5,4,5,True,기대 이상으로 만족했습니다.
6,164,3,3,4,4,False,설명이 명확해서 신뢰가 갔습니다.
41,171,3,4,3,2,True,상담이 자세해서 도움이 많이 됐어요.
37,143,5,5,3,2,True,다시 방문하고 싶은 병원입니다.
10,99,3,3,3,4,True,상담이 자세해서 도움이 많이 됐어요.
28,198,4,5,4,3,False,조금 바빴지만 진료는 괜찮았습니다.
32,60,4,4,5,5,False,대기 시간이 조금 있었지만 만족합니다.
42,85,4,5,4,3,False,설명이 명확해서 신뢰가 갔습니다.
43,198,3,5,4,3,True,전반적으로 만족스러운 진료였습니다.
41,178,4,4,4,4,True,상담이 자세해서 도움이 많이 됐어요.
36,87,5,5,3,5,True,설명이 명확해서 신뢰가 갔습니다.
17,44,4,5,4,5,False,설명이 명확해서 신뢰가 갔습니다.
7,142,4,3,4,4,False,설명이 명확해서 신뢰가 갔습니다.
1,87,5,4,4,4,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
24,28,4,5,3,3,False,조금 바빴지만 진료는 괜찮았습니다.
32,186,3,3,3,3,False,상담이 자세해서 도움이 많이 됐어요.
42,23,3,4,3,5,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
34,35,3,3,4,5,False,기대 이상으로 만족했습니다.
11,17,4,5,5,4,False,설명이 명확해서 신뢰가 갔습니다.
35,180,5,5,3,2,True,대기 시간이 조금 있었지만 만족합니다.
40,107,5,4,5,2,True,설명이 명확해서 신뢰가 갔습니다.
30,92,5,5,4,4,True,기대 이상으로 만족했습니다.
30,74,4,3,3,4,False,다시 방문하고 싶은 병원입니다.
29,185,5,4,5,3,False,친절한 응대와 정확한 진단이 인상적이었습니다.
16,147,5,3,3,4,False,조금 바빴지만 진료는 괜찮았습니다.
17,89,4,5,3,3,False,대기 시간이 조금 있었지만 만족합니다.
13,185,5,5,4,5,False,친절한 응대와 정확한 진단이 인상적이었습니다.
31,182,5,5,4,4,True,기대 이상으로 만족했습니다.
24,59,5,3,3,5,True,전반적으로 만족스러운 진료였습니다.
49,196,4,3,4,4,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
5,46,5,5,4,5,False,조금 바빴지만 진료는 괜찮았습니다.
5,16,3,4,4,2,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
39,40,4,4,5,2,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
18,53,3,4,4,5,False,조금 바빴지만 진료는 괜찮았습니다.
